utc_ts,local_ts,pair,timeframe,signal,confidence
2025-10-09T16:40:07.942953+00:00,2025-10-09T19:40:07.942953,BTC/USDT,1m,BUY,0.80
2025-10-09T16:41:06.975003+00:00,2025-10-09T19:41:06.975003,BTC/USDT,1m,,0.24
2025-10-09T16:42:06.004405+00:00,2025-10-09T19:42:06.004405,BTC/USDT,1m,,0.34
2025-10-09T16:46:09.374420,BTC/USDT,BUY,0.8
2025-10-09T16:59:47.069182+00:00,2025-10-09T19:59:47.069182,BTC/USDT,1h,,0.78
2025-10-09T17:00:46.105703+00:00,2025-10-09T20:00:46.105703,BTC/USDT,1h,BUY,0.99
2025-10-09T17:01:45.139448+00:00,2025-10-09T20:01:45.139448,BTC/USDT,1h,,0.43
